Timestamp,W,A,T
12/1/2016 23:45,6.656521059,7.589253555,23.16471278
12/2/2016 0:00,6.654966234,7.525270057,23.13054805
12/2/2016 0:15,6.209251033,6.148341932,23.08727531
12/2/2016 0:30,5.734101181,4.782782034,23.00016436
12/2/2016 0:45,5.596684309,4.334869749,22.95730853
12/2/2016 1:00,5.514540289,4.088138864,22.82173295
12/2/2016 1:15,5.520051487,4.014429634,22.69988818
12/2/2016 1:30,5.527989074,4.120959751,22.60625644
12/2/2016 1:45,5.467569531,3.986247032,22.55303809
12/2/2016 2:00,4.886115465,2.879925632,22.431779
12/2/2016 2:15,5.061573307,3.362022893,22.11558294
12/2/2016 2:30,5.321271266,4.11520333,21.85414101
12/2/2016 2:45,6.106349497,6.61217523,21.6269114
12/2/2016 3:00,6.151565657,6.578302222,21.39772461
12/2/2016 3:15,6.327699357,6.90920139,21.27281681
12/2/2016 3:30,6.629548082,7.824239769,21.15763006
12/2/2016 3:45,6.743025617,8.491979267,21.06930126
12/2/2016 4:00,6.40101702,7.500434132,20.70187837
12/2/2016 4:15,4.863846034,3.712111959,20.68195796
12/2/2016 4:30,4.275452477,1.863383049,20.42140604
12/2/2016 4:45,4.135323575,1.492116045,20.41756292
12/2/2016 5:00,4.608088843,2.713997614,20.3365031
12/2/2016 5:15,5.312180154,4.327455606,20.31136624
12/2/2016 5:30,4.799698011,2.901526002,20.33589764
12/2/2016 5:45,5.286217608,3.960400701,20.19977167
12/2/2016 6:00,5.626793184,4.594732211,20.22353331
12/2/2016 6:15,5.56516515,4.687247357,20.34499693
12/2/2016 6:30,4.576424276,2.271179933,20.45296576
12/2/2016 6:45,4.024798716,1.304194619,20.54941653
12/2/2016 7:00,3.816558806,1.092210874,20.6871331
12/2/2016 7:15,3.922356997,1.334332472,20.64793922
12/2/2016 7:30,4.410890684,2.327555793,20.55401626
12/2/2016 7:45,4.606968677,2.553488215,20.55355066
12/2/2016 8:00,5.009276906,3.406277466,20.80949857
12/2/2016 8:15,5.637542088,4.916135017,21.04417661
12/2/2016 8:30,6.306805399,6.52445613,21.01256775
12/2/2016 8:45,6.198682735,6.112996749,21.27324959
12/2/2016 9:00,6.310577907,6.4132875,21.46177826
12/2/2016 9:15,7.262722666,9.798001014,21.49625307
12/2/2016 9:30,7.83909857,12.30242135,21.33167518
12/2/2016 9:45,7.882720626,12.44710157,21.32791952
12/2/2016 10:00,7.718130688,11.58443982,21.79436292
12/2/2016 10:15,7.725597007,11.60666652,22.38797786
12/2/2016 10:30,7.234264556,9.557606404,22.77846272
12/2/2016 10:45,7.15398621,8.926530449,23.11594995
12/2/2016 11:00,6.924680797,8.057071124,23.32377681
12/2/2016 11:15,6.585179978,6.864064679,23.48844207
12/2/2016 11:30,6.689120086,7.231981532,23.65837172
12/2/2016 11:45,6.88922758,8.074465653,23.84544687
12/2/2016 12:00,7.009913177,8.447236629,23.39841675
12/2/2016 12:15,6.355368647,6.232752531,23.10031956
12/2/2016 12:30,6.057792208,5.316604049,23.35685142
12/2/2016 12:45,6.078796372,5.308352242,23.50823227
12/2/2016 13:00,5.872880147,4.65975,23.89682277
12/2/2016 13:15,6.10583724,5.386305942,23.71922901
12/2/2016 13:30,6.266599572,5.819687668,23.29400479
12/2/2016 13:45,6.662757916,7.033713596,22.89899642
12/2/2016 14:00,6.679111825,7.423795286,22.56496786
12/2/2016 14:15,6.873646578,8.171425955,22.04429775
12/2/2016 14:30,6.629883292,7.242994482,21.81302211
12/2/2016 14:45,6.237188458,5.975454944,21.77073289
12/2/2016 15:00,6.171933218,5.706052408,21.79736333
12/2/2016 15:15,6.105948373,5.510540067,21.74096011
12/2/2016 15:30,5.288050925,3.556057818,21.68366909
12/2/2016 15:45,4.023313948,1.070282716,21.97677278
12/2/2016 16:00,3.967771146,0.866885297,21.8993266
12/2/2016 16:15,4.577786583,1.977903487,21.96342673
12/2/2016 16:30,4.638138407,2.147878764,22.00374106
12/2/2016 16:45,4.924435649,2.831694494,22.0309857
12/2/2016 17:00,5.941624106,5.357171348,22.1296093
12/2/2016 17:15,4.88233031,2.805809305,22.18518141
12/2/2016 17:30,4.71590143,2.507138876,22.23272983
12/2/2016 17:45,4.289671972,2.139094052,22.70925671
12/2/2016 18:00,4.637607252,2.79664191,22.57127426
12/2/2016 18:15,4.997778403,3.922576828,22.5408912
12/2/2016 18:30,5.452416214,5.035427283,22.26837911
12/2/2016 18:45,5.291574839,4.252887767,22.21068513
12/2/2016 19:00,6.091024393,6.37885389,22.25592139
12/2/2016 19:15,6.436111394,7.53173352,22.30962342
12/2/2016 19:30,6.835877902,9.142774691,22.33132222
12/2/2016 19:45,7.125555385,10.07074583,22.2661036
12/2/2016 20:00,7.845326577,13.01233176,22.2977068
12/2/2016 20:15,8.181938202,14.45410258,22.27777835
12/2/2016 20:30,8.097423391,14.58673809,22.18827375
12/2/2016 20:45,7.902742594,13.50373213,22.14526302
12/2/2016 21:00,7.537014451,11.76255378,22.0848929
12/2/2016 21:15,7.113333503,9.29937794,21.99039499
12/2/2016 21:30,7.08147638,9.203925365,21.85037241
12/2/2016 21:45,8.247482948,14.926014,21.7673445
12/2/2016 22:00,8.935846413,18.85138408,21.58715094
12/2/2016 22:15,8.615699222,16.81975023,21.45755528
12/2/2016 22:30,8.921095506,19.00377708,21.21068693
12/2/2016 22:45,6.181640218,19.17599149,20.16496125
12/2/2016 23:00,8.573128643,17.73312711,19.51321198
12/2/2016 23:15,7.4672896,11.65654173,19.5242126
12/2/2016 23:30,6.984693041,9.665676212,19.58762939
12/2/2016 23:45,6.787311674,9.067919617,19.88011171
12/3/2016 0:00,6.133059244,6.533829775,19.93386364
12/3/2016 0:15,5.793760238,5.687889865,19.94850276
12/3/2016 0:30,6.251165763,6.725358043,20.05078485
12/3/2016 0:45,6.318472605,6.748782492,20.15192582
12/3/2016 1:00,6.563577098,7.717395351,20.14115131
12/3/2016 1:15,6.423783287,7.191703255,20.09977043
12/3/2016 1:30,6.492242084,7.504322022,20.09555158
12/3/2016 1:45,5.855469867,5.401638652,20.04066139
12/3/2016 2:00,5.319973924,4.029146119,19.96225841
12/3/2016 2:15,4.494654361,2.099718785,19.91964158
12/3/2016 2:30,4.560470325,2.186567189,19.88871781
12/3/2016 2:45,4.464584401,2.170326268,19.93906426
12/3/2016 3:00,4.560782063,2.3399844,19.88586879
12/3/2016 3:15,4.598531665,2.309016292,19.8993667
12/3/2016 3:30,4.555351658,2.2342125,19.9441723
12/3/2016 3:45,5.038262273,3.334913191,19.93206416
12/3/2016 4:00,5.30078141,4.246374944,19.97022983
12/3/2016 4:15,4.488855729,2.199914141,19.93789664
12/3/2016 4:30,3.992376521,1.246232958,20.04039012
12/3/2016 4:45,4.125611691,1.468638739,19.92593673
12/3/2016 5:00,4.609483286,2.504652466,19.85985528
12/3/2016 5:15,5.081137129,3.556541526,19.85081369
12/3/2016 5:30,5.064134881,3.489286952,19.86635137
12/3/2016 5:45,5.252521267,4.108316573,19.87206877
12/3/2016 6:00,5.525993514,4.689042356,19.83043087
12/3/2016 6:15,5.204894704,3.81162695,19.80058903
12/3/2016 6:30,5.176027827,3.642843038,19.83198818
12/3/2016 6:45,5.017709218,3.260233061,19.91841281
12/3/2016 7:00,5.456812884,4.410711772,19.96503232
12/3/2016 7:15,5.693797791,4.980594509,19.98620168
12/3/2016 7:30,5.928536227,5.592648328,20.11654084
12/3/2016 7:45,6.195054423,5.534078222,21.76838621
12/3/2016 8:00,6.221156263,6.425593779,20.60063626
12/3/2016 8:15,6.175959477,6.182723113,20.88379074
12/3/2016 8:30,6.496584088,7.261539496,21.23041307
12/3/2016 8:45,6.988117186,8.974630769,21.49761072
12/3/2016 9:00,7.471039036,11.02242365,21.70028703
12/3/2016 9:15,7.946252362,13.19560335,21.90337497
12/3/2016 9:30,8.104584416,14.09438343,22.0614026
12/3/2016 9:45,8.252039494,14.88835336,22.43415051
12/3/2016 10:00,8.842024933,18.2748535,22.71626565
12/3/2016 10:15,8.511193375,16.26868479,23.0283949
12/3/2016 10:30,8.277291356,14.78024871,23.33581275
12/3/2016 10:45,8.172035124,14.34241023,23.41327738
12/3/2016 11:00,7.904616725,13.03571649,23.54685883
12/3/2016 11:15,8.414939184,15.54083045,23.33589703
12/3/2016 11:30,8.126377567,14.13427707,23.34508823
12/3/2016 11:45,8.202602597,14.41019474,23.5378987
12/3/2016 12:00,8.145980032,13.96278867,23.72276143
12/3/2016 12:15,8.024109091,13.13292709,24.04071948
12/3/2016 12:30,8.185135993,14.20099604,23.69982538
12/3/2016 12:45,7.809537959,12.3020172,23.52873969
12/3/2016 13:00,7.225873077,9.693828812,23.39481338
12/3/2016 13:15,6.907674144,8.463502834,23.22904368
12/3/2016 13:30,6.868758721,8.259573436,23.22737469
12/3/2016 13:45,6.87119032,8.669374221,22.87581208
12/3/2016 14:00,5.537016413,4.103199297,23.07665725
12/3/2016 14:15,4.562346076,1.898990813,23.52384891
12/3/2016 14:30,4.684011995,2.198852083,23.47933765
12/3/2016 14:45,4.906151585,2.72631582,23.48936857
12/3/2016 15:00,5.58768895,4.739778571,23.60004258
12/3/2016 15:15,6.825397276,8.45644756,23.89649417
12/3/2016 15:30,7.37048289,10.47114705,23.56040249
12/3/2016 15:45,7.426267026,10.94615796,23.30813536
12/3/2016 16:00,7.281132422,10.15799838,23.20306621
12/3/2016 16:15,6.945671734,8.942616155,22.80564433
12/3/2016 16:30,6.76549801,8.262590207,22.73352011
12/3/2016 16:45,6.862791541,8.676766363,22.84984192
12/3/2016 17:00,7.258645844,10.24457149,22.87187138
12/3/2016 17:15,7.941602646,13.56969707,22.70798922
12/3/2016 17:30,8.761906022,18.03672293,22.25207429
12/3/2016 17:45,8.028953708,14.20094378,21.83468004
12/3/2016 18:00,8.28564607,15.77405718,21.8235466
12/3/2016 18:15,8.009357512,14.64011556,21.25627178
12/3/2016 18:30,9.707900433,22.90420708,21.24614349
12/3/2016 18:45,7.600461763,21.32464316,21.63847074
12/3/2016 19:00,7.580274644,21.47316579,21.53694399
12/3/2016 19:15,7.554851381,20.22159902,21.43583286
12/3/2016 19:30,7.524071691,17.76288707,21.33552779
12/3/2016 19:45,7.487833611,14.50722494,21.2364148
12/3/2016 20:00,6.940119035,9.245554577,21.25795323
12/3/2016 20:15,6.411644123,7.381013149,21.2396954
12/3/2016 20:30,6.123048562,6.547715643,21.26526125
12/3/2016 20:45,6.066956381,5.937194893,21.22324552
12/3/2016 21:00,5.540165775,4.396334,21.20180749
12/3/2016 21:15,5.036438239,3.209386635,21.01307684
12/3/2016 21:30,5.69997093,5.156379419,20.89444503
12/3/2016 21:45,6.461520651,7.515265105,20.865297
12/3/2016 22:00,7.131583908,10.21934017,20.80978027
12/3/2016 22:15,6.818762873,10.7991731,20.39032048
12/3/2016 22:30,7.595417024,12.18448373,20.55660913
12/3/2016 22:45,7.697583227,12.63755176,20.51198784
12/3/2016 23:00,7.866047639,13.51635698,20.50606416
12/3/2016 23:15,7.230114967,10.38435527,20.44801735
12/3/2016 23:30,6.882942803,8.877861998,20.36919163
12/3/2016 23:45,7.194322169,10.26779567,20.44837055
12/4/2016 0:00,6.745316965,8.507069034,20.43225209
12/4/2016 0:15,6.719515223,8.185311758,20.40077467
12/4/2016 0:30,6.26825991,6.548313389,20.30566297
12/4/2016 0:45,5.814289226,5.122509255,20.28434768
12/4/2016 1:00,5.777334515,5.156561229,20.30412368
12/4/2016 1:15,5.342239401,4.187221274,20.32241313
12/4/2016 1:30,5.538655213,4.770537796,20.29366922
12/4/2016 1:45,5.432188351,4.46746982,20.28971693
12/4/2016 2:00,5.500910168,4.65049763,20.28352811
12/4/2016 2:15,5.529021823,4.731055609,20.18556037
12/4/2016 2:30,5.520951287,4.898275088,20.07975377
12/4/2016 2:45,5.389229249,4.349340459,20.01521465
12/4/2016 3:00,4.578474831,2.473684179,20.03210529
12/4/2016 3:15,4.262432198,1.807361217,19.97781243
12/4/2016 3:30,4.393711491,2.130438407,19.87649984
12/4/2016 3:45,4.529362777,2.337365957,19.87491672
12/4/2016 4:00,4.515625,2.376397024,19.86474026
12/4/2016 4:15,4.233546735,1.773342254,19.72050523
12/4/2016 4:30,3.902143385,1.128777468,19.62102207
12/4/2016 4:45,3.951792723,1.242561727,19.47441392
12/4/2016 5:00,3.98263615,1.247079836,19.45793989
12/4/2016 5:15,3.87535271,0.986334889,19.441466
12/4/2016 5:30,3.672945954,0.769084651,19.56835885
12/4/2016 5:45,2.984889791,0.13741891,20.47224478
12/4/2016 6:00,2.638943489,-0.0344875,21.0942542
12/4/2016 6:15,2.74047717,0.033818891,21.03644334
12/4/2016 6:30,3.068699422,0.22260185,20.32050447
12/4/2016 6:45,3.221416084,0.305173193,20.1002384
12/4/2016 7:00,3.713616199,0.114075,21.57258175
12/4/2016 7:15,3.04018045,0.114075,20.79277936
12/4/2016 7:30,3.036716937,0.07297761,21.14298408
12/4/2016 7:45,3.289343142,0.24734104,21.11496847
12/4/2016 8:00,3.375671247,0.336956047,21.3945481
12/4/2016 8:15,3.460788196,0.443721951,21.65202988
12/4/2016 8:30,3.694645258,0.783072924,21.61611852
12/4/2016 8:45,3.605033592,0.891295843,21.71603506
12/4/2016 9:00,3.968766308,1.232461998,21.82101294
12/4/2016 9:15,4.537657464,2.138283603,21.98619305
12/4/2016 9:30,4.715030338,2.507145455,22.06677477
12/4/2016 9:45,5.367776542,4.031784965,22.4891264
12/4/2016 10:00,5.420613292,4.105093597,22.69842311
12/4/2016 10:15,5.154144695,3.395738979,22.99601877
12/4/2016 10:30,5.655373807,4.837937486,23.15589284
12/4/2016 10:45,5.838357856,5.138348555,23.44168156
12/4/2016 11:00,6.012331746,5.658064009,23.60461017
12/4/2016 11:15,6.119750026,5.979639495,23.79172842
12/4/2016 11:30,5.727099361,4.769586293,24.10306913
12/4/2016 11:45,5.961495024,5.413275031,24.39525886
12/4/2016 12:00,5.266022589,3.42657296,24.68356217
12/4/2016 12:15,5.136434218,3.224568199,24.86613778
12/4/2016 12:30,5.077651515,2.997171324,25.16813168
12/4/2016 12:45,4.970446409,2.774740453,25.37070406
12/4/2016 13:00,4.942890031,2.621874441,25.50018471
12/4/2016 13:15,5.142103459,3.151632831,25.67911306
12/4/2016 13:30,5.402395225,3.769511927,25.54418265
12/4/2016 13:45,5.541017821,4.119262777,25.87308263
12/4/2016 14:00,6.014942197,5.53078578,25.75273778
12/4/2016 14:15,6.148337897,5.907772289,25.55901698
12/4/2016 14:30,5.895199,5.094851914,25.6880709
12/4/2016 14:45,6.422701243,4.771085908,24.53026456
12/4/2016 15:00,5.654947945,4.248571665,25.92186326
12/4/2016 15:15,6.046882733,5.521943432,25.86049758
12/4/2016 15:30,5.887112204,5.007135196,25.801789
12/4/2016 15:45,6.744084423,7.642374316,25.33876338
12/4/2016 16:00,7.036046816,8.928905991,25.27880708
12/4/2016 16:15,7.232402747,9.693212803,25.37316242
12/4/2016 16:30,7.405062461,10.62908441,25.09173315
12/4/2016 16:45,7.612545874,11.63383749,24.61858027
12/4/2016 17:00,6.97099681,8.89991345,24.32282562
12/4/2016 17:15,6.675932738,7.755577572,24.28866527
12/4/2016 17:30,6.844641711,8.366418941,24.26712299
12/4/2016 17:45,6.37081084,6.844200831,24.22083783
12/4/2016 18:00,6.370019856,6.859802243,24.21235376
12/4/2016 18:15,6.680609862,7.961024612,24.13731672
12/4/2016 18:30,6.736638955,8.15053076,23.9134987
12/4/2016 18:45,7.0284689,9.167788421,23.75281499
12/4/2016 19:00,6.890455619,8.689306375,23.58921327
12/4/2016 19:15,6.802534355,8.415332442,23.4167019
12/4/2016 19:30,7.193914956,10.12621924,23.33425383
12/4/2016 19:45,6.789213477,8.490195768,23.16039079
12/4/2016 20:00,6.077253788,5.992617738,22.9214421
12/4/2016 20:15,5.599798654,4.653457403,22.52874835
12/4/2016 20:30,5.414250107,4.121254009,21.88613315
12/4/2016 20:45,5.054990877,3.29724085,21.5350059
12/4/2016 21:00,4.95441995,3.071942137,21.37219524
12/4/2016 21:15,5.10038055,3.464956279,21.23290698
