Machine,Timestamp,WindSpeed,ActivePower,GenSpeed,TurbineState,PitchAngle,TempHubBearing
KD67,2017-01-01 00:00:00,5.349904446601864,325.29294606526724,1243.9587322998045,11.0,-2.1204268890619264,38.689334055582684
KD67,2017-01-01 00:10:00,5.6576648894945825,343.87872568766306,1244.9425539143879,11.0,-2.3784903782606133,38.59366702397667
KD67,2017-01-01 00:20:00,5.268337771892547,294.75439722696945,1242.3298667399104,11.0,-2.056645865043003,38.57066693623858
KD67,2017-01-01 00:30:00,5.361147771676385,331.43249720255545,1244.2730198160816,11.0,-2.134146890838939,38.5236667569478
KD67,2017-01-01 00:50:00,6.201368727548691,456.0797373878341,1258.9224022051724,11.0,-2.8353959590644378,38.29999923706055
KD67,2017-01-01 01:00:00,6.267418240706128,493.28761825561526,1278.0667317708342,11.0,-2.8869750412305213,38.29999923706055
KD67,2017-01-01 01:10:00,6.06095735549927,491.62600636800164,1277.2713317871105,11.0,-2.716570744514464,38.29999923706055
KD67,2017-01-01 01:20:00,5.695373867907393,492.4858232348511,1277.4331209568015,11.0,-2.4131556972239423,38.29999923706055
KD67,2017-01-01 01:30:00,6.480806012153625,576.7231930541986,1319.479713134765,11.0,-3.0689286661148065,38.29999923706055
KD67,2017-01-01 01:40:00,5.888818255250957,496.7269464916298,1279.916839956243,11.0,-2.5789859398378545,38.29999923706055
KD67,2017-01-01 01:50:00,5.7787795408566724,469.1668439737956,1266.1190004475902,11.0,-2.4839652486642234,38.29999923706055
KD67,2017-01-01 02:00:00,5.910316220124563,435.3923096211752,1253.0699127197258,11.0,-2.588115561803185,38.29999923706055
KD67,2017-01-01 02:10:00,6.173847780227662,430.21150690714495,1250.630263061522,11.0,-2.8037290410200764,38.29999923706055
KD67,2017-01-01 02:20:00,6.344234013557428,469.0398880513511,1265.2436236572266,11.0,-2.9535956990718817,38.29999923706055
KD67,2017-01-01 02:30:00,6.2401866388320935,466.18403422037767,1265.3412674967446,11.0,-2.874208296140032,38.29999923706055
KD67,2017-01-01 02:40:00,5.8520270895957935,416.9358830261231,1250.1254878743475,11.0,-2.54616697192192,38.29999923706055
KD67,2017-01-01 02:50:00,5.896262900829313,447.10456146240233,1254.2278879801434,11.0,-2.583386007150016,38.29999923706055
KD67,2017-01-01 03:00:00,6.0906413316726695,469.36197570800783,1265.006287638347,11.0,-2.7403069631258643,38.29999923706055
KD67,2017-01-01 03:10:00,6.364007105032602,516.3455976359054,1289.2596230061845,11.0,-2.9717213344573965,38.29999923706055
KD67,2017-01-01 03:30:00,5.50926178057988,330.7184634399417,1244.1098911539725,11.0,-2.2588505891958874,38.050999870300274
KD67,2017-01-01 03:40:00,5.0200277630488035,193.95939167022698,1236.8035986328114,11.0,-1.853341851035754,38.0
KD67,2017-01-01 03:50:00,4.529777104457222,126.41717119852696,1233.1800887044267,11.0,-1.443092893560727,38.0
KD67,2017-01-01 04:00:00,4.3390357844034835,153.647501335144,1234.6350885009756,11.0,-1.2921845873196918,38.12599967956543
KD67,2017-01-01 04:20:00,3.85721489548683,103.8094964853922,1231.9658673095696,11.0,-1.0927650757630654,38.29999923706055
KD67,2017-01-01 04:30:00,3.531789336999257,68.66273526509592,1230.0838863118495,11.0,-1.0800000429153442,38.29999923706055
KD67,2017-01-01 04:40:00,3.4254613284269952,60.50410298665365,1229.6458463541671,11.0,-1.0800000429153442,38.29999923706055
KD67,2017-01-01 04:50:00,3.3451382259527853,45.96822504043582,1228.77924662272,11.0,-1.0800000429153442,38.29999923706055
KD67,2017-01-01 06:50:00,4.28822444995245,115.90776568094893,1232.6288871256495,11.0,-1.2502620043357224,38.63433384577432
KD67,2017-01-01 07:00:00,4.597799565394715,160.8465073776244,1235.0318412272127,11.0,-1.495832663575809,38.70000076293945
KD67,2017-01-01 07:10:00,4.922646683851881,196.0535476175944,1236.9140437825533,11.0,-1.7691213305791216,38.70000076293945
KD67,2017-01-01 07:20:00,5.315959552129113,275.67899981180807,1241.176135050455,11.0,-2.098766965667405,38.67666734059653
KD67,2017-01-01 07:30:00,5.252099267230406,306.41998311394656,1242.8181388740345,11.0,-2.0463674862516155,38.54207027734628
KD67,2017-01-01 07:50:00,4.138830895423887,169.18554617563885,1235.4601568603525,11.0,-1.2138543641567228,38.29999923706055
KD67,2017-01-01 08:00:00,3.771086221933365,108.98024559020992,1232.2323331705738,11.0,-1.029669314622879,38.29999923706055
KD67,2017-01-01 09:10:00,3.5436715467770896,116.72155939420072,1232.6343105061846,11.0,-1.0543410754203788,38.29999923706055
KD67,2017-01-01 09:20:00,3.2886960097153968,59.3036994457245,1229.0710911051422,11.0,-1.0399999618530271,38.29999923706055
KD67,2017-01-01 10:00:00,3.6172293245792373,115.58354314486185,1231.511864827474,11.0,-1.1075740393002829,38.29999923706055
KD67,2017-01-01 15:40:00,3.934794235626855,149.30837810516354,1234.55235534668,11.0,-1.1475726193189633,39.715500526428215
KD67,2017-01-01 17:40:00,4.6582942318916345,236.27881487528492,1239.3120676676438,11.0,-1.553648372292518,40.29999923706055
KD67,2017-01-01 17:50:00,4.8657637667655935,269.78302515665683,1241.092823079428,11.0,-1.7245873332023614,40.29999923706055
KD67,2017-01-01 18:00:00,4.4780877876281755,205.8972925313314,1237.6573358154315,11.0,-1.4040985961755117,40.29999923706055
KD67,2017-01-01 18:10:00,4.605394210815418,209.64248613993328,1237.8737782796213,11.0,-1.5085394783814745,40.29999923706055
KD67,2017-01-01 18:20:00,4.135591341257099,147.0568416722616,1234.5225120035805,11.0,-1.154318960905075,40.29999923706055
